Datetime,Open,High,Low,Close,Volume
2020-03-10 09:30:00-04:00,158.16,158.3,156.17,156.4,2726358
2020-03-10 09:32:00-04:00,156.4,156.97,155.91,156.97,644539
2020-03-10 09:34:00-04:00,157.33,157.33,156.23,156.23,492569
2020-03-10 09:36:00-04:00,156.25,156.25,155.65,155.75,488593
2020-03-10 09:38:00-04:00,155.83,155.98,155.75,155.98,382901
2020-03-10 09:40:00-04:00,155.96,155.96,155.55,155.89,366056
2020-03-10 09:42:00-04:00,155.95,156.09,155.73,156.09,330318
2020-03-10 09:44:00-04:00,156.3,156.3,156.1,156.28,329404
2020-03-10 09:46:00-04:00,156.29,156.36,156.06,156.06,284975
2020-03-10 09:48:00-04:00,156.04,156.3,155.94,156.3,262949
2020-03-10 09:50:00-04:00,156.31,156.68,156.18,156.18,385289
2020-03-10 09:52:00-04:00,156.02,156.49,156.0,156.49,446484
2020-03-10 09:54:00-04:00,156.61,156.67,156.46,156.67,263659
2020-03-10 09:56:00-04:00,156.69,156.97,156.62,156.97,271758
2020-03-10 09:58:00-04:00,156.75,157.12,156.46,156.86,266184
2020-03-10 10:00:00-04:00,156.84,157.4,156.51,157.15,300499
2020-03-10 10:02:00-04:00,157.16,157.84,157.16,157.78,264540
2020-03-10 10:04:00-04:00,157.77,157.9,157.17,157.24,341389
2020-03-10 10:06:00-04:00,157.28,157.99,157.24,157.89,278163
2020-03-10 10:08:00-04:00,157.95,158.29,157.82,158.18,389456
2020-03-10 10:10:00-04:00,158.17,158.59,158.06,158.55,272974
2020-03-10 10:12:00-04:00,158.56,158.92,158.51,158.78,272951
2020-03-10 10:14:00-04:00,158.78,159.01,158.5,158.67,258761
2020-03-10 10:16:00-04:00,158.69,158.83,158.35,158.52,253097
2020-03-10 10:18:00-04:00,158.51,158.95,158.29,158.45,197342
2020-03-10 10:20:00-04:00,158.48,158.98,158.48,158.85,220616
2020-03-10 10:22:00-04:00,158.83,158.9,158.1,158.23,280530
2020-03-10 10:24:00-04:00,158.24,158.55,157.89,158.1,240542
2020-03-10 10:26:00-04:00,158.09,158.09,157.8,157.96,245902
2020-03-10 10:28:00-04:00,157.95,158.12,157.8,157.87,188365
2020-03-10 10:30:00-04:00,157.9,158.13,157.75,157.85,316433
2020-03-10 10:32:00-04:00,157.88,158.09,157.74,157.94,291507
2020-03-10 10:34:00-04:00,157.87,158.22,157.85,158.12,231516
2020-03-10 10:36:00-04:00,158.15,158.18,157.78,157.84,287947
2020-03-10 10:38:00-04:00,157.9,158.13,157.77,157.86,178066
2020-03-10 10:40:00-04:00,157.91,158.05,157.28,157.53,203237
2020-03-10 10:42:00-04:00,157.52,157.65,156.69,157.17,290256
2020-03-10 10:44:00-04:00,157.18,157.21,156.87,157.04,208008
2020-03-10 10:46:00-04:00,157.06,157.1,155.93,156.04,423837
2020-03-10 10:48:00-04:00,156.08,156.22,155.5,155.65,298709
2020-03-10 10:50:00-04:00,155.66,155.85,155.46,155.55,260493
2020-03-10 10:52:00-04:00,155.58,155.58,155.15,155.34,243089
2020-03-10 10:54:00-04:00,155.34,155.74,155.09,155.69,234452
2020-03-10 10:56:00-04:00,155.73,156.07,155.59,155.94,253155
2020-03-10 10:58:00-04:00,155.91,155.91,154.77,154.79,437293
2020-03-10 11:00:00-04:00,154.78,155.02,154.1,154.4,310932
2020-03-10 11:02:00-04:00,154.42,155.12,154.16,155.05,290265
2020-03-10 11:04:00-04:00,155.01,155.24,154.75,154.94,215735
2020-03-10 11:06:00-04:00,154.98,155.8,154.98,155.47,222385
2020-03-10 11:08:00-04:00,155.46,156.19,155.42,156.05,280507
2020-03-10 11:10:00-04:00,156.03,156.06,155.1,155.13,269507
2020-03-10 11:12:00-04:00,155.19,155.59,154.84,154.84,195263
2020-03-10 11:14:00-04:00,154.84,155.01,154.55,154.78,208152
2020-03-10 11:16:00-04:00,154.84,155.09,154.26,154.49,283625
2020-03-10 11:18:00-04:00,154.49,154.53,154.09,154.27,219624
2020-03-10 11:20:00-04:00,154.24,154.58,154.05,154.32,180507
2020-03-10 11:22:00-04:00,154.32,154.45,153.83,154.08,248615
2020-03-10 11:24:00-04:00,154.06,154.06,153.0,153.01,323142
2020-03-10 11:26:00-04:00,153.0,153.92,152.92,153.79,347042
2020-03-10 11:28:00-04:00,153.8,154.38,153.12,153.12,323338
2020-03-10 11:30:00-04:00,153.2,153.72,152.89,153.19,391221
2020-03-10 11:32:00-04:00,153.25,153.53,153.0,153.16,212187
2020-03-10 11:34:00-04:00,153.18,153.66,152.96,153.02,301793
2020-03-10 11:36:00-04:00,153.0,153.34,152.74,152.79,336986
2020-03-10 11:38:00-04:00,152.79,153.68,152.58,153.59,274841
2020-03-10 11:40:00-04:00,153.7,153.91,153.02,153.21,260256
2020-03-10 11:42:00-04:00,153.22,154.51,153.19,154.25,285701
2020-03-10 11:44:00-04:00,154.24,155.07,154.16,155.01,300720
2020-03-10 11:46:00-04:00,155.0,155.6,154.74,154.76,367557
2020-03-10 11:48:00-04:00,154.82,155.24,154.64,154.7,232074
2020-03-10 11:50:00-04:00,154.65,154.95,154.23,154.23,201155
2020-03-10 11:52:00-04:00,154.23,154.45,153.63,153.71,244013
2020-03-10 11:54:00-04:00,153.7,154.13,153.38,153.83,183490
2020-03-10 11:56:00-04:00,153.81,153.95,153.18,153.73,179999
