Date,Open,High,Low,Close,Volume,Daily_Vol,Security
2010-03-09,22.52,22.96,22.52,22.71,50271600,0.00407644707557661,0.0
2010-03-10,22.76,22.96,22.71,22.85,44891400,0.005300481129459057,0.0
2010-03-11,22.78,23.02,22.75,23.01,35349700,0.00528041390120804,0.0
2010-03-12,23.12,23.17,22.9,23.08,31700200,0.00448860630747218,0.0
2010-03-15,23.01,23.16,22.88,23.1,37512000,0.005400074096020009,0.0
2010-03-16,23.2,23.26,23.03,23.16,36723500,0.005082665330053095,0.0
2010-03-17,23.26,23.56,23.19,23.37,50385700,0.0050081973215478056,0.0
2010-03-18,23.37,23.44,23.26,23.35,43845200,0.0045621290046288345,0.0
2010-03-19,23.47,23.58,23.15,23.34,81332100,0.005377755175894986,0.0
2010-03-22,23.26,23.42,23.18,23.34,37718200,0.005474161975014394,0.0
2010-03-23,23.34,23.58,23.19,23.56,42026600,0.005271454355967831,0.0
2010-03-24,23.44,23.54,23.34,23.38,33987700,0.005122696041669098,0.0
2010-03-25,23.52,24.11,23.5,23.67,73168700,0.0047824499978353155,1.0
2010-03-26,23.73,23.82,23.34,23.39,55595500,0.0047706309527886384,1.0
2010-03-29,23.43,23.52,23.3,23.34,33336000,0.005029307731658485,1.0
2010-03-30,23.37,23.55,23.26,23.48,34954800,0.004719833372328903,1.0
2010-03-31,23.37,23.44,23.0,23.1,63760000,0.006441368392625686,1.0
2010-04-01,23.15,23.3,22.57,23.0,74768100,0.009579389181742557,0.0
2010-04-05,22.97,23.21,22.89,23.08,34331200,0.009108600310433153,0.0
2010-04-06,22.99,23.33,22.85,23.12,47366800,0.008746104537336262,0.0
2010-04-07,23.0,23.31,22.98,23.15,58318800,0.008291794469065052,0.0
2010-04-08,23.12,23.64,23.11,23.6,63713800,0.010048977893387098,0.0
2010-04-09,23.62,23.98,23.58,23.93,54752500,0.013565038443346724,1.0
2010-04-12,23.86,24.05,23.82,23.91,37068800,0.013026910842881323,0.0
2010-04-13,23.78,24.05,23.76,24.01,41374600,0.01235145007722052,0.0
2010-04-14,24.28,24.45,24.18,24.31,68941200,0.012230537772808223,1.0
2010-04-15,24.31,24.41,24.22,24.34,52745400,0.01180852285483659,1.0
2010-04-16,24.28,24.43,24.13,24.19,88703100,0.011808163121496865,1.0
2010-04-19,24.27,24.64,24.26,24.48,64970300,0.011350499881349374,1.0
2010-04-20,24.62,24.79,24.55,24.73,52199500,0.0118097018370159,1.0
2010-04-21,24.71,24.84,24.63,24.71,55343100,0.011211985127369054,1.0
2010-04-22,24.48,24.87,24.37,24.75,84847600,0.010884544561093118,1.0
2010-04-23,24.54,24.9,24.17,24.42,126766600,0.011899519414358857,1.0
2010-04-26,24.45,24.67,24.34,24.53,63649300,0.011303464337835072,1.0
2010-04-27,24.41,24.64,24.25,24.33,68730900,0.01109643088165021,1.0
2010-04-28,24.38,24.45,24.15,24.38,64557900,0.01103617890801486,1.0
2010-04-29,24.39,24.79,24.19,24.45,52665200,0.010491687658437363,1.0
2010-04-30,24.5,24.51,24.07,24.08,63214800,0.011094373483085297,1.0
2010-05-03,24.19,24.49,24.12,24.34,43989500,0.01086415665219322,1.0
2010-05-04,24.07,24.09,23.46,23.76,82085600,0.011446272340867846,1.0
2010-05-05,23.48,23.73,23.41,23.54,66833800,0.015051083020700054,1.0
2010-05-06,23.34,23.56,22.01,22.85,128613000,0.01806775927619828,1.0
2010-05-07,22.81,22.83,21.55,22.25,173718100,0.02277887929558507,1.0
2010-05-10,22.88,23.25,22.64,22.82,86653300,0.024215010752737513,1.0
2010-05-11,22.62,23.38,22.53,22.78,63789400,0.024807425460087868,1.0
2010-05-12,22.85,23.33,22.81,23.22,47146800,0.024450127368169088,1.0
2010-05-13,23.08,23.45,23.01,23.06,45188800,0.02362974332767558,1.0
2010-05-14,23.03,23.04,22.59,22.81,63334000,0.02306467381900823,1.0
